"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2023","WEEK #17","2023-04-30","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","40",""
"SURVEY","2023","WEEK #18","2023-05-07","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","73",""
"SURVEY","2023","WEEK #19","2023-05-14","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","84",""
"SURVEY","2023","WEEK #20","2023-05-21","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","91",""
"SURVEY","2023","WEEK #21","2023-05-28","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","95",""
"SURVEY","2023","WEEK #22","2023-06-04","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","96",""
"SURVEY","2022","WEEK #13","2022-04-03","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2022","WEEK #14","2022-04-10","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2022","WEEK #15","2022-04-17","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2022","WEEK #16","2022-04-24","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2022","WEEK #17","2022-05-01","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","7",""
"SURVEY","2022","WEEK #18","2022-05-08","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2022","WEEK #19","2022-05-15","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","55",""
"SURVEY","2022","WEEK #20","2022-05-22","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","78",""
"SURVEY","2022","WEEK #21","2022-05-29","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","89",""
"SURVEY","2022","WEEK #22","2022-06-05","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","95",""
"SURVEY","2022","WEEK #23","2022-06-12","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","98",""
"SURVEY","2021","WEEK #13","2021-04-04","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2021","WEEK #14","2021-04-11","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","5",""
"SURVEY","2021","WEEK #15","2021-04-18","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","12",""
"SURVEY","2021","WEEK #16","2021-04-25","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","23",""
"SURVEY","2021","WEEK #17","2021-05-02","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","54",""
"SURVEY","2021","WEEK #18","2021-05-09","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","74",""
"SURVEY","2021","WEEK #19","2021-05-16","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","86",""
"SURVEY","2021","WEEK #20","2021-05-23","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","90",""
"SURVEY","2021","WEEK #21","2021-05-30","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","95",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2020","WEEK #16","2020-04-19","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","8",""
"SURVEY","2020","WEEK #17","2020-04-26","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","37",""
"SURVEY","2020","WEEK #18","2020-05-03","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","56",""
"SURVEY","2020","WEEK #19","2020-05-10","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","68",""
"SURVEY","2020","WEEK #20","2020-05-17","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","83",""
"SURVEY","2020","WEEK #21","2020-05-24","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","89",""
"SURVEY","2020","WEEK #22","2020-05-31","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","92",""
"SURVEY","2020","WEEK #23","2020-06-07","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","98",""
"SURVEY","2019","WEEK #13","2019-03-31","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2019","WEEK #14","2019-04-07","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2019","WEEK #15","2019-04-14","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2019","WEEK #16","2019-04-21","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2019","WEEK #17","2019-04-28","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","9",""
"SURVEY","2019","WEEK #18","2019-05-05","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","10",""
"SURVEY","2019","WEEK #19","2019-05-12","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","11",""
"SURVEY","2019","WEEK #20","2019-05-19","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","24",""
"SURVEY","2019","WEEK #21","2019-05-26","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","35",""
"SURVEY","2019","WEEK #22","2019-06-02","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","45",""
"SURVEY","2019","WEEK #23","2019-06-09","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","73",""
"SURVEY","2019","WEEK #24","2019-06-16","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","88",""
"SURVEY","2019","WEEK #25","2019-06-23","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","92",""
"SURVEY","2019","WEEK #26","2019-06-30","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","95",""
"SURVEY","2018","WEEK #13","2018-04-01","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2018","WEEK #14","2018-04-08","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2018","WEEK #15","2018-04-15","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2018","WEEK #16","2018-04-22","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2018","WEEK #17","2018-04-29","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","32",""
"SURVEY","2018","WEEK #18","2018-05-06","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","74",""
"SURVEY","2018","WEEK #19","2018-05-13","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","90",""
"SURVEY","2018","WEEK #20","2018-05-20","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","96",""
"SURVEY","2018","WEEK #21","2018-05-27","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2018","WEEK #22","2018-06-03","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2018","WEEK #23","2018-06-10","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2017","WEEK #14","2017-04-09","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2017","WEEK #15","2017-04-16","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","6",""
"SURVEY","2017","WEEK #16","2017-04-23","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","34",""
"SURVEY","2017","WEEK #17","2017-04-30","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","63",""
"SURVEY","2017","WEEK #18","2017-05-07","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","65",""
"SURVEY","2017","WEEK #19","2017-05-14","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","75",""
"SURVEY","2017","WEEK #20","2017-05-21","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","89",""
"SURVEY","2017","WEEK #21","2017-05-28","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","93",""
"SURVEY","2017","WEEK #22","2017-06-04","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","98",""
"SURVEY","2016","WEEK #13","2016-04-03","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2016","WEEK #14","2016-04-10","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2016","WEEK #15","2016-04-17","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","12",""
"SURVEY","2016","WEEK #16","2016-04-24","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","42",""
"SURVEY","2016","WEEK #17","2016-05-01","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","66",""
"SURVEY","2016","WEEK #18","2016-05-08","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","78",""
"SURVEY","2016","WEEK #19","2016-05-15","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","83",""
"SURVEY","2016","WEEK #20","2016-05-22","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","89",""
"SURVEY","2016","WEEK #21","2016-05-29","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","94",""
"SURVEY","2016","WEEK #22","2016-06-05","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","97",""
"SURVEY","2015","WEEK #14","2015-04-05","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2015","WEEK #15","2015-04-12","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2015","WEEK #16","2015-04-19","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2015","WEEK #17","2015-04-26","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","31",""
"SURVEY","2015","WEEK #18","2015-05-03","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","69",""
"SURVEY","2015","WEEK #19","2015-05-10","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","88",""
"SURVEY","2015","WEEK #20","2015-05-17","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","94",""
"SURVEY","2015","WEEK #21","2015-05-24","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","97",""
"SURVEY","2015","WEEK #22","2015-05-31","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2015","WEEK #23","2015-06-07","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2015","WEEK #24","2015-06-14","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2014","WEEK #15","2014-04-13","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2014","WEEK #16","2014-04-20","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","5",""
"SURVEY","2014","WEEK #17","2014-04-27","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","32",""
"SURVEY","2014","WEEK #18","2014-05-04","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","43",""
"SURVEY","2014","WEEK #19","2014-05-11","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","78",""
"SURVEY","2014","WEEK #20","2014-05-18","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","84",""
"SURVEY","2014","WEEK #21","2014-05-25","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","95",""
"SURVEY","2014","WEEK #22","2014-06-01","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","98",""
"SURVEY","2014","WEEK #23","2014-06-08","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2013","WEEK #15","2013-04-14","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2013","WEEK #16","2013-04-21","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2013","WEEK #17","2013-04-28","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2013","WEEK #18","2013-05-05","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","7",""
"SURVEY","2013","WEEK #19","2013-05-12","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","17",""
"SURVEY","2013","WEEK #20","2013-05-19","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","74",""
"SURVEY","2013","WEEK #21","2013-05-26","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","89",""
"SURVEY","2013","WEEK #22","2013-06-02","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","91",""
"SURVEY","2013","WEEK #23","2013-06-09","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","96",""
